nodeid,shapeid,x,y
534,12,-84.2378759,30.3925033
535,12,-84.2376727,30.3925274
536,12,-84.2375286,30.3925453
537,12,-84.2372631,30.3925731
538,12,-84.2370308,30.3925763
539,12,-84.2357903,30.3924791
540,12,-84.2353956,30.3924482
541,12,-84.2351489,30.3924363
542,12,-84.2350346,30.3924335
543,12,-84.234789,30.3924212
544,12,-84.2346246,30.3924184
545,12,-84.2344323,30.3924271
546,12,-84.2342568,30.3924489
547,12,-84.2340344,30.3924856
548,12,-84.2337596,30.3925291
549,12,-84.2336012,30.3925643
550,13,-84.2318103,30.4071313
551,13,-84.2319067,30.4071267
552,13,-84.2319463,30.4070958
553,13,-84.2322052,30.406872
554,13,-84.2323554,30.4066314
555,13,-84.2324734,30.406326
556,13,-84.2326344,30.4059004
557,13,-84.2327846,30.4052341
558,13,-84.2328168,30.4047622
559,13,-84.2328275,30.4043736
560,13,-84.2327953,30.4039572
561,13,-84.2327202,30.40355
562,13,-84.2327153,30.4035197
563,13,-84.2326666,30.4032169
564,13,-84.2325158,30.4027341
565,13,-84.2324841,30.4026149
566,13,-84.2324646,30.4025522
567,13,-84.232361,30.4022187
568,13,-84.2322424,30.4018537
569,13,-84.2322254,30.4017641
570,13,-84.232196,30.4015742
571,13,-84.232176,30.4012329
572,13,-84.2321709,30.4007887
573,13,-84.2321746,30.3999725
574,13,-84.2321727,30.3990097
575,13,-84.2321772,30.3986413
576,13,-84.2321645,30.3983155
577,13,-84.2321357,30.3981031
578,13,-84.2320912,30.3978681
579,13,-84.2320252,30.3976333
580,13,-84.2317819,30.3968139
581,13,-84.2315488,30.3960366
582,13,-84.2315285,30.3959762
583,13,-84.2314792,30.3958028
584,13,-84.2314414,30.3956337
585,13,-84.2313814,30.3953233
586,13,-84.2313374,30.3950425
587,13,-84.2313058,30.3947254
588,13,-84.2313008,30.3946912
589,13,-84.2312976,30.3946499
590,13,-84.23126,30.394339
591,13,-84.2312512,30.394101
592,13,-84.2312419,30.3937336
593,13,-84.2312714,30.3934822
594,13,-84.2313118,30.3932715
595,13,-84.23137,30.393045
596,13,-84.2313999,30.3929768
597,13,-84.2314279,30.3928844
598,14,-84.2262835,30.3831148
599,14,-84.2250502,30.3827149
600,14,-84.22441,30.3825511
601,14,-84.2237778,30.3824151
602,14,-84.2233202,30.3823363
603,14,-84.222767,30.3822631
604,14,-84.2221538,30.3822016
605,14,-84.2221121,30.3821997
606,14,-84.2217014,30.382181
607,14,-84.2216042,30.3821791
608,14,-84.2211334,30.38217
609,14,-84.2205284,30.3821842
610,14,-84.2200328,30.382215
611,14,-84.2194761,30.3822671
612,14,-84.2190391,30.3823273
613,14,-84.2188082,30.3823601
614,14,-84.218052,30.3824728
615,14,-84.2176888,30.3825039
616,14,-84.21742,30.3825006
617,15,-84.2309661,30.3865064
618,15,-84.2309198,30.386635
619,15,-84.2308858,30.3867077
620,15,-84.2308191,30.3868946
621,15,-84.2307641,30.3870612
622,15,-84.2306986,30.3873279
623,15,-84.230595,30.3877644
624,15,-84.230485,30.388232
625,15,-84.2304508,30.3884161
626,15,-84.2304511,30.3885444
627,15,-84.2304871,30.3887573
628,15,-84.2305287,30.3888822
629,15,-84.2306178,30.3890799
630,15,-84.2306658,30.3892409
631,15,-84.23069,30.3893814
632,15,-84.2306911,30.389428
633,15,-84.2306924,30.3894824
634,15,-84.2306543,30.3897454
635,15,-84.2306045,30.3899558
636,15,-84.2305996,30.3899768
637,15,-84.2305735,30.3900785
638,15,-84.2305461,30.3901912
639,15,-84.2305414,30.3902072
640,15,-84.2304975,30.3903861
641,15,-84.2304639,30.3905364
642,15,-84.230444,30.390608
643,15,-84.2304197,30.3906943
644,15,-84.2303814,30.3908571
645,15,-84.2303413,30.3910195
646,15,-84.2303018,30.3911804
647,15,-84.2302617,30.3913417
648,15,-84.2302213,30.39151
649,15,-84.2301466,30.3917889
650,15,-84.2301357,30.3918294
651,15,-84.2300947,30.3919823
652,15,-84.230076,30.3920774
653,15,-84.229995,30.3924167
654,15,-84.2299368,30.3926399
655,15,-84.2298984,30.392741
656,16,-84.2322424,30.4018537
657,16,-84.2321468,30.4018678
658,16,-84.2317185,30.4019323
659,16,-84.2314537,30.4019682
660,16,-84.2313015,30.4019716
661,16,-84.2311924,30.4019643
662,16,-84.2310355,30.4019266
663,16,-84.2309325,30.4018893
664,16,-84.2308004,30.4018318
665,16,-84.2306714,30.4017497
666,16,-84.2305239,30.4016254
667,16,-84.2303959,30.4014533
668,16,-84.2302668,30.4012528
669,16,-84.2301451,30.4010548
670,16,-84.2300683,30.4009046
671,16,-84.2300411,30.400791
672,16,-84.2299986,30.4006594
673,16,-84.2299932,30.4005298
674,16,-84.2299825,30.4003679
675,16,-84.2299878,30.4002013
676,16,-84.2300227,30.39997
677,16,-84.2300309,30.3997754
678,16,-84.2300319,30.3996327
679,16,-84.230006,30.3992549
680,16,-84.2299999,30.3991584
681,16,-84.2299742,30.3988736
682,16,-84.2299638,30.3987582
683,16,-84.2299494,30.3985992
684,16,-84.2299358,30.3984783
685,16,-84.2299178,30.3983192
686,16,-84.2298991,30.3981709
687,16,-84.2298667,30.3980402
688,16,-84.2298522,30.3979818
689,16,-84.2297921,30.3978059
690,16,-84.2297537,30.3977231
691,16,-84.2297204,30.3976514
692,16,-84.2296038,30.3974251
693,16,-84.2295125,30.397304
694,16,-84.2294645,30.3972446
695,16,-84.2293526,30.3971062
696,16,-84.229326,30.3970732
697,16,-84.2291294,30.3968291
698,16,-84.2289856,30.3966892
